TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20230101231387,2,80,20,1,0,0,0
20230101231387,3,59,22,1,0,0,0
20230101231408,1,38,18,2,0,0,0
20230101231408,2,50,20,1,0,0,0
20230101231408,3,8,22,1,0,0,0
20230101231408,4,5,22,2,0,0,0
20230101231409,1,35,18,1,0,0,0
20230101231409,2,35,20,2,0,0,0
20230101231409,3,10,22,1,0,0,0
20230101231409,4,9,22,2,0,0,0
20230101231447,1,63,19,2,0,0,0
20230101231456,1,78,19,2,0,0,0
20230101231480,1,23,19,2,0,0,0
20230101231480,2,22,28,2,0,0,0
20230101231489,1,37,18,1,0,0,0
20230101231489,2,34,20,2,0,0,0
20230101231489,3,7,22,2,0,0,0
20230101231489,4,5,22,2,0,0,0
20230101231521,1,46,19,1,0,0,0
20230101231521,2,17,22,1,0,0,0
20230101231547,1,47,18,1,0,0,0
20230101231547,2,46,20,2,0,0,0
20230101231547,3,18,22,2,0,0,0
20230101231547,5,14,22,2,0,0,0
20230101231552,1,70,18,2,0,0,0
20230101231552,2,85,24,2,60,0,0
20230101231553,1,43,18,1,0,0,0
20230101231553,2,55,20,2,0,0,0
20230101231567,1,72,18,2,0,0,0
20230101231567,2,80,20,1,0,0,0
20230101231579,1,62,18,2,0,0,0
20230101231579,2,63,20,1,0,0,0
20230101231581,1,77,18,2,0,0,0
20230101231581,2,80,20,1,0,0,0
20230101231581,3,51,22,1,0,0,0
20230101231587,1,39,18,1,0,0,0
20230101231587,2,33,20,2,0,0,0
20230101231587,3,0,22,2,0,0,0
20230101231591,1,80,19,2,0,0,0
20230101231597,1,73,18,2,0,0,0
20230101231597,2,69,20,1,0,0,0
20230101231601,1,31,19,2,0,0,0
20230101231601,2,27,21,1,0,0,0
20230101231613,1,51,19,2,0,0,0
20230101231635,1,51,18,2,0,0,0
20230101231635,2,23,22,1,0,0,0
20230101231635,3,19,22,2,0,0,0
20230101231665,1,64,19,1,0,0,0
20230101231673,1,62,19,1,0,0,0
20230101231681,1,33,18,1,0,0,0
20230101231681,2,32,20,2,0,0,0
20230101231688,1,79,18,1,0,0,0
20230101231688,2,77,20,2,0,0,0
20230101231710,1,77,19,1,0,0,0
20230101231717,1,60,18,1,0,0,0
20230101231717,2,58,20,2,0,0,0
20230101231717,3,35,22,1,0,0,0
20230101231726,1,70,19,1,0,0,0
20230101231738,1,58,18,1,0,0,0
20230101231738,2,55,20,2,0,0,0
20230101231738,3,29,22,2,0,0,0
20230101231738,4,26,22,2,0,0,0
20230101231739,1,41,18,1,0,0,0
20230101231739,2,38,20,2,0,0,0
20230101231739,3,8,22,2,0,0,0
20230101231739,4,6,22,2,0,0,0
20230101231739,5,3,22,2,0,0,0
20230101231739,6,0,22,2,0,0,0
20230101231742,1,55,18,2,0,0,0
20230101231742,2,77,24,2,0,0,0
20230101231742,3,17,26,1,0,0,0
20230101231744,1,80,19,1,0,0,0
20230101231779,1,50,18,2,0,0,0
20230101231779,2,10,22,1,0,0,0
20230101231779,3,9,22,1,0,0,0
20230101231782,1,44,19,2,0,0,0
20230101231792,1,45,18,2,0,0,0
20230101231792,2,53,20,1,0,0,0
20230101231792,3,19,22,1,0,0,0
20230101231792,4,16,22,1,0,0,0
20230101231792,5,9,22,1,0,0,0
20230101231792,6,7,22,2,0,0,0
20230101231798,1,38,18,2,0,0,0
20230101231798,2,38,20,1,0,0,0
20230101231798,3,9,22,1,0,0,0
20230101231798,4,7,22,2,0,0,0
20230101231798,5,5,22,2,0,0,0
20230101231798,6,3,22,2,0,0,0
20230101231807,1,52,18,1,0,0,0
20230101231807,2,13,22,2,0,0,0
20230101231835,1,76,18,1,0,0,0
20230101231835,2,72,20,2,0,0,0
20230101231890,1,42,19,1,0,0,0
20230101231890,2,42,21,2,0,0,0
20230101231892,1,73,18,1,0,0,0
20230101231892,2,64,20,2,0,0,0
20230101231895,1,61,18,1,0,0,0
20230101231895,2,55,20,1,0,0,0
20230101231905,1,29,18,2,0,0,0
20230101231905,2,30,21,1,0,0,0
20230101231906,1,33,18,1,0,0,0
20230101231906,2,30,20,2,0,0,0
20230101231909,1,67,19,2,0,0,0
20230101231913,1,25,19,2,0,0,0
20230101231919,1,48,18,2,0,0,0
20230101231919,2,51,20,1,0,0,0
20230101231919,3,16,22,1,0,0,0
20230101231925,1,67,19,2,0,0,0
20230101231937,1,35,18,2,0,0,0
20230101231937,2,4,22,2,0,0,0
20230101231937,3,6,22,2,0,0,0
20230101231937,4,10,22,2,0,0,0
20230101231951,1,23,18,2,0,0,0
20230101231951,2,23,29,2,0,0,0
20230101231958,1,65,18,1,0,0,0
20230101231958,2,62,20,2,0,0,0
20230101231964,1,39,18,1,0,0,0
20230101231964,2,39,20,2,0,0,0
20230101231964,3,8,22,1,0,0,0
20230101231964,4,4,22,1,0,0,0
20230101231964,5,0,22,2,0,0,0
20230101231967,1,67,19,1,0,0,0
20230101231974,1,50,18,2,0,0,0
20230101231974,2,52,20,1,0,0,0
20230101231974,3,18,22,1,0,0,0
20230101231975,1,36,19,1,0,0,0
20230101231996,1,46,19,1,0,0,0
20230101232031,1,54,18,2,0,0,0
20230101232031,2,53,20,1,0,0,0
20230101232046,1,66,18,2,0,0,0
20230101232046,2,77,20,1,0,0,0
20230101232072,1,58,18,2,0,0,0
20230101232072,2,10,22,1,0,0,0
20230101232072,3,85,24,1,60,0,0
20230101232093,1,26,19,2,0,0,0
20230101232103,1,30,18,2,0,0,0
20230101232103,2,34,20,1,0,0,0
20230101232103,3,3,22,1,0,0,0
20230101232103,4,1,22,1,0,0,0
20230101232108,1,71,18,1,0,0,0
20230101232108,2,73,20,2,0,0,0
20230101232108,3,35,22,1,0,0,0
20230101232141,1,61,19,1,0,0,0
20230101232146,1,28,18,1,0,0,0
20230101232146,2,29,20,2,0,0,0
20230101232146,3,1,22,2,0,0,0
20230101232148,1,57,18,1,0,0,0
20230101232148,2,51,25,1,0,0,0
20230101232148,3,52,25,2,0,0,0
20230101232154,1,58,18,2,0,0,0
20230101232154,2,48,20,1,0,0,0
20230101232155,1,32,18,2,0,0,0
20230101232155,2,32,28,2,0,0,0
20230101232217,1,67,19,2,0,0,0
20230101232224,1,37,18,1,0,0,0
20230101232224,2,29,20,2,0,0,0
20230101232224,3,5,22,2,0,0,0
20230101232224,4,5,22,2,0,0,0
20230101232224,5,2,22,1,0,0,0
